,stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
9168,0,0,480,1268787.96,1,0.999491,26804603.87,1.000241,1.000241,0.999383,87767.07,0.999491,18656.0,0.999472,-1.3202429,48,0_480_0
9359,0,0,490,1180033.46,1,0.999383,26910717.29,1.000241,1.000026,0.999276,52971.68,0.999383,33390.66,0.999342,0.18954277,49,0_490_0
9550,0,0,500,1158754.78,1,0.999491,26914637.05,1.000241,1.000026,0.999383,52137.93,0.999491,81899.84,0.999425,0.97990036,50,0_500_0
9741,0,0,510,1088759.13,1,0.999598,26967180.45,1.000241,1.000241,0.999491,43188.64,0.999598,9329.0,0.999579,0.6496906,51,0_510_0
9932,0,0,520,1008684.09,1,0.999598,27047255.49,1.000241,1.000026,0.999383,19493.43,0.999598,78456.89,0.999426,6.7794323,52,0_520_0
10123,0,0,530,998138.08,1,0.999491,27075253.75,1.000241,1.000026,0.999383,70978.47,0.999491,35166.56,0.999455,6.1404705,53,0_530_0
10314,0,0,540,906957.07,1,0.999383,27183793.68,1.000241,0.999919,0.999276,111912.0,0.999383,9793.35,0.999375,9.759665,54,0_540_0
10505,0,1,0,1870169.4,1,0.999923,5132566.71,,,0.999601,9302.0,1.000998,23287.5,1.0,-14.089942,55,1_0_0
10696,0,1,10,1112218.97,1,0.999278,5890517.14,,,0.999064,8088.39,0.999493,23252.5,0.999175,-3.079772,56,1_10_0
10887,0,1,20,937829.89,1,0.998634,6064906.23,,,0.998419,5574.6,0.998634,52412.52,0.998439,2.54035,57,1_20_0
11078,0,1,30,937829.89,1,0.998204,6064906.23,,,0.997989,14673.46,0.998204,41800.5,0.998045,2.3901463,58,1_30_0
11269,0,1,40,937829.89,1,0.998634,6064906.23,,,0.998419,4738.41,0.998634,4646.5,0.998527,-0.5400181,59,1_40_0
11460,0,1,50,450954.91,1,0.998634,6551781.2,,,0.998526,1022.12,0.998634,17935.49,0.998532,0.7402897,60,1_50_0
11651,0,1,60,450954.91,1,0.998419,6551781.2,,,0.998311,5295.3,0.998419,3995.13,0.998373,-0.6598234,61,1_60_0
11842,0,1,70,418198.8,1,0.998849,6603055.69,,,0.998634,5668.73,0.998849,5391.1,0.998744,-4.2301416,62,1_70_0
12033,0,1,80,484920.77,1,0.998741,6640278.54,,,0.998634,35127.54,0.998741,15428.04,0.998708,-3.169775,63,1_80_0
12224,0,1,90,484920.77,1,0.998419,6640278.54,,,0.998311,4459.2,0.998419,10034.28,0.998344,1.4698505,64,1_90_0
12415,0,1,100,480081.8,1,0.998419,6645117.51,,,0.998311,13749.2,0.998419,12357.03,0.998368,-0.84996223,65,1_100_0
12606,0,1,110,480081.8,1,0.998849,6645117.51,,,0.998634,13753.64,0.998849,18218.2,0.998726,-2.7900934,66,1_110_0
12797,0,1,120,480081.8,1,0.998526,6645117.51,,,0.998419,7154.07,0.998526,15610.56,0.998453,1.0895729,67,1_120_0
12988,0,1,130,475801.17,1,0.998526,6649398.14,,,0.998311,24618.5,0.998526,20070.72,0.99843,1.1003017,68,1_130_0
13179,0,1,140,448907.66,1,0.998526,6676291.66,,,0.998419,15423.06,0.998526,14774.28,0.998474,2.629757,69,1_140_0
13370,0,1,150,327188.91,1,0.998849,6798010.4,,,0.998526,43393.64,0.998849,4461.6,0.998819,-2.3502111,70,1_150_0
13561,0,1,160,327188.91,1,0.998741,6798010.4,,,0.998634,9293.0,0.998741,9386.94,0.998687,-3.7497282,71,1_160_0
13752,0,1,170,431692.09,1,0.998741,6798010.4,,,0.998634,28622.44,0.998741,9294.0,0.998715,0.9703636,72,1_170_0
13943,0,1,180,1081324.0,1,0.998634,6862964.29,,,0.998741,9294.0,0.998849,13756.6,0.998785,1.8894672,73,1_180_0
14134,0,1,190,1008460.26,1,0.998956,6967560.51,,,0.998741,13941.0,0.998956,23054.08,0.998822,3.9696693,74,1_190_0
14325,0,1,200,957651.06,1,0.999064,7018369.71,,,0.998849,32439.55,0.999064,9761.85,0.999014,1.3303757,75,1_200_0
14516,0,1,210,957651.06,1,0.998741,7018369.71,,,0.998634,4646.5,0.998741,4461.12,0.998689,4.529953,76,1_210_0
14707,0,1,220,957651.06,1,0.998526,7018369.71,,,0.998311,24804.3,0.998526,51013.08,0.998382,6.4504147,77,1_220_0
14898,0,1,230,957651.06,1,0.998849,7018369.71,,,0.998634,43212.45,0.998849,4461.6,0.998829,3.2401085,78,1_230_0
15089,0,1,240,870084.29,1,0.999064,7111426.86,,,0.998956,32628.96,0.999064,4462.56,0.999051,0.18954277,79,1_240_0
15280,0,1,250,1079183.69,1,0.999278,7115986.66,,,0.999171,46025.1,0.999278,13762.52,0.999254,-4.6902895,80,1_250_0
15471,0,1,260,1064945.94,1,0.999278,7213417.49,,,0.999064,24637.05,0.999386,17577.0,0.999252,-4.889965,81,1_260_0
15662,0,1,270,1034981.54,1,0.999386,7243381.89,,,0.999171,14969.78,0.999386,33015.0,0.999238,-6.3198805,82,1_270_0
15853,0,1,280,2333966.2,1,0.999278,7966435.89,,,0.999278,8927.04,0.999493,4464.48,0.999422,-4.5901537,83,1_280_0
16044,0,1,290,2769008.34,1,0.999601,9297432.2,,,0.999601,4464.96,0.999816,4465.92,0.999708,-6.6697598,84,1_290_0
16235,0,1,300,2644684.0,1,0.999601,11260472.63,1.018514,1.010132,0.999493,93.01,0.999601,6511.4,0.999495,-5.5897236,85,1_300_0
16426,0,1,310,1747240.91,1,0.999493,12157915.71,1.015505,1.006049,0.999386,49290.0,0.999493,15625.68,0.999468,0.08940697,86,1_310_0
16617,0,1,320,1721371.03,1,0.999278,12183785.6,1.015075,1.004437,0.999171,33472.8,0.999278,34685.27,0.999224,1.5294552,87,1_320_0
16808,0,1,330,1710204.17,1,0.999171,12194952.46,1.01486,1.004437,0.999064,31330.89,0.999171,29846.58,0.999119,2.2697449,88,1_330_0
16999,0,1,340,1710111.11,1,0.999171,12195045.51,1.01486,1.004437,0.999064,39884.13,0.999171,44537.42,0.999114,2.3698807,89,1_340_0
17190,0,1,350,1710111.11,1,0.999064,12195045.51,1.01486,1.004437,0.998956,19521.6,0.999064,74654.91,0.998978,0.04053116,90,1_350_0
17381,0,1,360,1710111.11,1,0.999064,12195045.51,1.01486,1.004437,0.998956,37091.04,0.999064,90180.9,0.998987,0.1502037,91,1_360_0
17572,0,1,370,1710111.11,1,0.999278,12195045.51,1.01486,1.004437,0.999064,36072.36,0.999278,11158.8,0.999228,-3.2502413,92,1_370_0
17763,0,1,380,1680146.71,1,0.999386,12225009.91,1.01486,1.004437,0.999278,29198.86,0.999386,6603.0,0.999366,-2.1600723,93,1_380_0
17954,0,1,390,1670654.89,1,0.999171,12234501.74,1.014538,1.004114,0.999064,42673.23,0.999171,18596.0,0.999138,-0.7098913,94,1_390_0
18145,0,1,400,1641993.29,1,0.999171,12263163.34,1.014538,1.004114,0.999064,62661.78,0.999171,5206.88,0.999163,-1.1199713,95,1_400_0
18336,0,1,410,1570153.17,1,0.998956,12335003.46,1.014538,1.004114,0.998849,8272.55,0.998956,118988.8,0.998856,1.0097027,96,1_410_0
18527,0,1,420,1566523.94,1,0.998956,12338632.69,1.014538,1.004114,0.998849,48241.05,0.998956,13386.24,0.998933,5.4502487,97,1_420_0
18718,0,1,430,1530510.83,1,0.999064,12374645.8,1.01443,1.004114,0.998849,67295.8,0.999064,32446.53,0.998994,5.300045,98,1_430_0
18909,0,1,440,1516738.37,1,0.999171,12388418.26,1.008842,1.00218,0.999064,42301.35,0.999171,46304.04,0.999115,3.6597252,99,1_440_0
19100,0,1,450,1501477.0,1,0.999278,12403679.63,1.008628,1.00218,0.999171,63598.32,0.999278,28175.97,0.999245,3.2401085,100,1_450_0
19291,0,1,460,1492171.29,1,0.999278,12431596.77,1.003469,1.001213,0.999171,47326.82,0.999278,33011.45,0.999234,3.1805038,101,1_460_0
19482,0,1,470,1540747.11,1,0.999171,12457466.66,1.00218,1.000675,0.999064,80883.9,0.999171,5020.92,0.999165,6.580353,102,1_470_0
19673,0,1,480,1155769.71,1,0.999601,12793123.77,1.001105,1.000675,0.999386,81654.0,0.999601,13580.92,0.99957,2.900362,103,1_480_0
19864,0,1,490,943878.6,1,0.999601,13005014.89,1.001105,1.000246,0.999493,12928.39,0.999601,41765.98,0.999519,3.9601326,104,1_490_0
20055,0,1,500,1258318.69,1,0.999278,12718491.94,1.001105,1.000138,0.999171,39981.4,0.999278,13483.55,0.999251,4.630089,105,1_500_0
20246,0,1,510,1314152.97,1,0.999171,12727797.66,1.001105,1.000138,0.999171,9298.0,0.999386,27900.0,0.999225,5.7804585,106,1_510_0
20437,0,1,520,1208253.94,1,0.999386,12768556.69,1.001105,1.000138,0.999171,88609.94,0.999386,22971.0,0.999342,6.799698,107,1_520_0
20628,0,1,530,914937.83,1,0.999601,13033955.66,1.001105,1.000138,0.999278,398369.16,0.999601,89764.3,0.999542,2.8204918,108,1_530_0
20819,0,1,540,875760.77,1,0.999816,13073132.71,1.001105,1.000353,0.999493,280239.13,0.999816,85596.8,0.99974,-2.7000904,109,1_540_0
21010,0,2,0,0.0,0,0.999968,9704431.46,,,0.999968,4055.48,1.000185,23231.88,1.0,-6.3598156,110,2_0_0
21201,0,2,10,0.0,0,0.999751,9705906.23,,,0.999751,4883.95,0.999859,19537.92,0.999772,1.1599064,111,2_10_0
21392,0,2,20,0.0,0,0.999534,9705906.23,,,0.999534,26441.31,0.999642,3501.32,0.99963,3.0303001,112,2_20_0
21583,0,2,30,0.0,0,0.999425,9705906.23,,,0.999425,10593.8,0.999534,9213.0,0.999483,5.7303905,113,2_30_0
21774,0,2,40,0.0,0,0.999317,9808863.44,,,0.999317,36936.11,0.999425,18608.24,0.999389,4.4596195,114,2_40_0
21965,0,2,50,0.0,0,0.999317,9911820.65,,,0.999317,22935.39,0.999425,14002.24,0.999384,4.9495697,115,2_50_0
22156,0,2,60,0.0,0,0.998774,9911820.65,,,0.998774,56248.66,0.998991,31859.68,0.998913,6.9904327,116,2_60_0
22347,0,2,70,0.0,0,0.999317,9911820.65,,,0.999317,46699.77,0.999534,31969.11,0.999446,-1.8197298,117,2_70_0
22538,0,2,80,0.0,0,0.999425,10116075.96,,,0.999425,31965.64,0.999642,33538.96,0.999531,-1.6701221,118,2_80_0
22729,0,2,90,0.0,0,0.999751,10219033.17,,,0.999751,33911.2,0.999859,36864.0,0.999803,-2.899766,119,2_90_0
22920,0,2,100,0.0,0,0.999642,10219033.17,,,0.999642,13728.86,0.999751,7464.15,0.999713,-0.19013882,120,2_100_0
23111,0,2,110,0.0,0,0.999751,10219033.17,,,0.999751,24051.15,0.999859,18155.52,0.999813,-0.8302927,121,2_110_0
23302,0,2,120,0.0,0,0.999642,10219033.17,,,0.999642,31972.58,0.999751,55842.9,0.999682,-1.72019,122,2_120_0
23493,0,2,130,0.0,0,0.999425,10219033.17,,,0.999425,74525.08,0.999642,93706.38,0.999521,-0.680089,123,2_130_0
23684,0,2,140,0.0,0,0.999642,10265396.17,,,0.999534,3961.59,0.999642,50584.86,0.999542,-9.760261,124,2_140_0
23875,0,2,150,0.0,0,0.999534,10265396.17,,,0.999425,55364.12,0.999534,36852.0,0.99949,-10.300279,125,2_150_0
24066,0,2,160,0.0,0,0.999642,10265396.17,,,0.999534,1842.6,0.999642,23403.56,0.999542,-14.8797035,126,2_160_0
24257,0,2,170,0.0,0,0.999425,10410568.61,,,0.999425,90738.2,0.999642,32617.56,0.999585,-15.569925,127,2_170_0
24448,0,2,180,0.0,0,0.999534,10750041.66,,,0.999425,4606.0,0.999642,33631.1,0.999451,-10.899901,128,2_180_0
24639,0,2,190,0.0,0,0.999534,10814562.75,,,0.999425,16121.0,0.999534,55278.0,0.99945,-8.990169,129,2_190_0
24830,0,2,200,0.0,0,0.998991,10814562.75,,,0.998666,18410.0,0.998774,46214.12,0.998697,-0.6502867,130,2_200_0
25021,0,2,210,0.0,0,0.998774,10882770.75,,,0.998557,41510.04,0.998774,51461.54,0.998654,-2.7298927,131,2_210_0
25212,0,2,220,0.0,0,0.998557,10882770.75,,,0.998232,28247.07,0.998449,36812.0,0.998326,3.7002563,132,2_220_0
25403,0,2,230,0.0,0,0.998449,10882770.75,,,0.998232,12145.32,0.998449,78225.5,0.998261,5.069971,133,2_230_0
25594,0,2,240,0.0,0,0.998449,10882770.75,,,0.998449,18774.12,0.998557,29544.84,0.998491,3.939867,134,2_240_0
25785,0,2,250,0.0,0,0.998666,11068314.94,,,0.998449,23007.5,0.998666,50627.5,0.998517,3.4296513,135,2_250_0
25976,0,2,260,0.0,0,0.998666,11105184.13,,,0.998449,10583.45,0.998666,48602.4,0.998488,0.059604645,136,2_260_0
26167,0,2,270,0.0,0,0.998449,11105184.13,,,0.99834,14171.08,0.998449,27240.88,0.998377,1.1503696,137,2_270_0
26358,0,2,280,705860.63,1,0.998774,11775281.64,,,0.998557,29544.84,0.998774,4603.0,0.998745,-1.1700392,138,2_280_0
26549,0,2,290,170335.65,1,0.998991,13853782.18,,,0.998883,25779.6,0.9991,39138.25,0.998969,4.249811,139,2_290_0
26740,0,2,300,0.0,0,0.998774,16122712.09,0.998774,0.998774,0.998774,26052.98,0.998883,11048.4,0.998851,3.5595894,140,2_300_0
26931,0,2,310,0.0,0,0.998557,16122712.09,0.998557,0.998557,0.998557,46940.4,0.998666,25774.0,0.998627,5.8805943,141,2_310_0
27122,0,2,320,0.0,0,0.99834,16122712.09,0.99834,0.99834,0.99834,18404.0,0.998449,57242.66,0.998367,8.62956,142,2_320_0
27313,0,2,330,0.0,0,0.998232,16122712.09,0.998232,0.998232,0.998232,48489.27,0.99834,96621.0,0.998268,5.429983,143,2_330_0
27504,0,2,340,0.0,0,0.998232,16122712.09,0.998232,0.998232,0.998232,85201.26,0.99834,18404.0,0.998321,3.1995773,144,2_340_0
27695,0,2,350,0.0,0,0.998774,16122712.09,0.998774,0.998774,0.998774,31300.4,0.998883,13810.5,0.99885,-1.1497736,145,2_350_0
27886,0,2,360,0.0,0,0.998774,16122712.09,0.998774,0.998774,0.998774,64534.06,0.998883,20071.26,0.998857,-2.6601553,146,2_360_0
28077,0,2,370,0.0,0,0.9991,16122712.09,0.9991,0.9991,0.9991,11879.61,0.999208,18512.1,0.999142,-5.400181,147,2_370_0
28268,0,2,380,0.0,0,0.998991,16122712.09,0.998991,0.998991,0.998991,92264.16,0.999208,32327.1,0.999152,-4.479885,148,2_380_0
28459,0,2,390,0.0,0,0.998557,16122712.09,0.998557,0.998557,0.998557,30925.44,0.998666,119757.05,0.99858,-1.7797947,149,2_390_0
28650,0,2,400,0.0,0,0.998449,16122712.09,0.998449,0.998449,0.998449,44542.52,0.998557,147171.96,0.998474,0.71048737,150,2_400_0
28841,0,2,410,0.0,0,0.998557,16122712.09,0.998557,0.998557,0.998557,33870.72,0.998666,63238.35,0.998595,-1.090169,151,2_410_0
29032,0,2,420,0.0,0,0.998449,16122712.09,0.998449,0.998449,0.998449,64973.18,0.998557,63415.56,0.998504,0.1502037,152,2_420_0
29223,0,2,430,0.0,0,0.998232,16122712.09,0.998232,0.998232,0.998232,30087.27,0.99834,9202.0,0.998315,-0.43988228,153,2_430_0
29414,0,2,440,0.0,0,0.998449,16122712.09,0.998449,0.998449,0.998449,55862.21,0.998557,12609.48,0.998537,0.2503395,154,2_440_0
29605,0,2,450,0.0,0,0.998449,16122712.09,0.998449,0.998449,0.998449,59543.41,0.998557,18500.04,0.998532,3.2901764,155,2_450_0
29796,0,2,460,0.0,0,0.998449,16122712.09,0.998449,0.998449,0.998449,36259.82,0.998666,19054.35,0.998591,2.6798248,156,2_460_0
29987,0,2,470,0.0,0,0.998557,16122712.09,0.998557,0.998557,0.998557,19604.52,0.998666,37004.1,0.998595,3.540516,157,2_470_0
30178,0,2,480,0.0,0,0.998557,16122712.09,0.998557,0.998557,0.998557,75288.72,0.998666,65539.6,0.998615,0.04053116,158,2_480_0
30369,0,2,490,0.0,0,0.998449,16122712.09,0.998449,0.998449,0.998449,4693.53,0.998557,30465.24,0.998463,2.2101402,159,2_490_0
30560,0,2,500,0.0,0,0.998557,16122712.09,0.998557,0.998557,0.998557,64520.04,0.998666,56150.5,0.998615,3.4105778,160,2_500_0
30751,0,2,510,0.0,0,0.998774,16166955.11,0.998774,0.998774,0.998774,21449.98,0.998883,3130.38,0.998869,-0.4798174,161,2_510_0
30942,0,2,520,0.0,0,0.998883,16183546.25,0.998883,0.998883,0.998883,24674.76,0.9991,37756.9,0.998969,-1.72019,162,2_520_0
31133,0,2,530,0.0,0,0.998883,16183546.25,0.998883,0.998883,0.998883,77430.87,0.998991,46960.8,0.99895,-0.5698204,163,2_530_0
31324,0,2,540,0.0,0,0.998557,16122712.09,0.998557,0.998557,0.998557,9480.12,0.998774,18596.12,0.998631,2.0194054,164,2_540_0
31515,0,3,0,3993793.82,-1,1.000232,8122459.54,,,0.999907,9218.0,1.000341,33752.52,1.0,-7.929802,165,3_0_0
31706,0,3,10,3882522.2,-1,0.999907,8233731.16,,,0.999907,8757.1,1.000015,46463.76,0.999924,-5.8597326,166,3_10_0
31897,0,3,20,3882522.2,-1,0.999853,8233731.16,,,0.999798,41568.67,0.999907,59179.56,0.999843,-4.079938,167,3_20_0
32088,0,3,30,3905292.78,-1,0.999473,8233731.16,,,0.999473,18612.28,0.999581,37873.65,0.999509,-0.4798174,168,3_30_0
32279,0,3,40,3905292.78,-1,0.999798,8233731.16,,,0.999798,73920.34,1.000015,9311.19,0.999991,-5.5998564,169,3_40_0
32470,0,3,50,4013798.75,-1,0.999473,8233731.16,,,0.999473,18428.0,0.99969,9216.0,0.999618,0.90003014,170,3_50_0
32661,0,3,60,3986049.98,-1,0.999473,8261479.93,,,0.999473,65419.4,0.99969,41564.16,0.999606,1.4996529,171,3_60_0
32852,0,3,70,3985865.6,-1,0.999581,8261664.3,,,0.999581,65057.9,0.99969,9308.16,0.999676,0.9703636,172,3_70_0
33043,0,3,80,3746175.29,-1,0.99969,8501354.62,,,0.99969,39168.0,0.999798,9217.0,0.999778,0.22053719,173,3_80_0
33234,0,3,90,3746175.29,-1,0.999473,8501354.62,,,0.999473,276.42,0.999581,3040.95,0.999482,2.169609,174,3_90_0
33425,0,3,100,3966229.44,-1,0.999473,8511403.18,,,0.999473,737.12,0.999581,2211.6,0.9995,1.4197826,175,3_100_0
33616,0,3,110,3966229.44,-1,0.99969,8511403.18,,,0.99969,82944.0,0.999798,34195.07,0.999767,-2.1201372,176,3_110_0
33807,0,3,120,3966229.44,-1,0.99969,8511403.18,,,0.99969,92.16,0.999798,29494.4,0.99969,-1.5497208,177,3_120_0
33998,0,3,130,3966229.44,-1,0.999581,8511403.18,,,0.999581,88371.85,0.999907,74942.34,0.999758,-1.2099743,178,3_130_0
34189,0,3,140,3955074.62,-1,0.99969,8623043.55,,,0.99969,55296.0,0.999798,9217.0,0.999783,-1.180172,179,3_140_0
34380,0,3,150,4229059.09,-1,0.99969,8623043.55,,,0.99969,65249.28,0.999798,22950.33,0.99977,-1.5902519,180,3_150_0
34571,0,3,160,4228690.33,-1,0.999581,8623412.31,,,0.999581,51235.4,0.99969,19353.6,0.99966,-5.8197975,181,3_160_0
34762,0,3,170,4228690.33,-1,0.999473,8623412.31,,,0.999473,46070.0,0.999798,85625.93,0.999587,-5.0002337,182,3_170_0
34953,0,3,180,3960698.12,-1,0.999581,9238494.54,,,0.999581,65702.95,0.99969,37232.64,0.999651,-4.51982,183,3_180_0
35144,0,3,190,3927878.99,-1,0.99969,9271313.67,,,0.99969,28938.24,0.999798,59080.97,0.999726,-3.3301115,184,3_190_0
35335,0,3,200,3983653.08,-1,0.99969,9271313.67,,,0.99969,84234.24,0.999798,59080.97,0.999754,-7.650256,185,3_200_0
35526,0,3,210,3983653.08,-1,0.99969,9271313.67,,,0.99969,93726.72,0.999798,59080.97,0.999756,-9.869933,186,3_210_0
35717,0,3,220,3976185.8,-1,0.999148,9278780.95,,,0.999148,18514.11,0.999365,40445.07,0.999216,-9.409785,187,3_220_0
35908,0,3,230,3948897.98,-1,0.999202,9306068.77,,,0.999148,36844.0,0.999256,20911.24,0.999217,-17.899872,188,3_230_0
36099,0,3,240,3973512.33,-1,0.999148,9356956.87,,,0.999256,27636.0,0.999365,27086.22,0.999311,-7.7199936,189,3_240_0
36290,0,3,250,4193566.48,-1,0.999365,9482886.47,,,0.999256,80789.24,0.999473,36856.0,0.999405,-15.320182,190,3_250_0
36481,0,3,260,4507376.42,-1,0.998931,9511557.12,,,0.998822,9208.0,0.999256,23398.48,0.998945,-7.4601173,191,3_260_0
36672,0,3,270,4609244.81,-1,0.998822,9615177.09,,,0.998605,32589.24,0.998822,28544.8,0.998721,-3.439784,192,3_270_0
